M_GeV T_GeV <g1>/T
7.000000000000000666e-01 3.430469286314919373e+02 8.729507363104573384e-03
7.000000000000000666e-01 3.511191734215130964e+02 8.741379699247622120e-03
7.000000000000000666e-01 3.593813663804625662e+02 8.741381911441310770e-03
7.000000000000000666e-01 3.678379771828634262e+02 8.751043628347842523e-03
7.000000000000000666e-01 3.764935806792467474e+02 8.751045643720282638e-03
7.000000000000000666e-01 3.853528593710527161e+02 8.751047567675232855e-03
7.000000000000000666e-01 3.944206059437656222e+02 8.757570418412186086e-03
7.000000000000000666e-01 4.037017258596553688e+02 8.757572169711484375e-03
7.000000000000000666e-01 4.132012400115334572e+02 8.761971404706022509e-03
7.000000000000000666e-01 4.229242874389498752e+02 8.761972999001620827e-03
7.000000000000000666e-01 4.328761281083056929e+02 8.761974520946225892e-03
7.000000000000000666e-01 4.430621457583877714e+02 8.764398872070259389e-03
7.000000000000000666e-01 4.534878508128581984e+02 8.764400257758236945e-03
7.000000000000000666e-01 4.641588833612777307e+02 8.764762231406911588e-03
7.000000000000000666e-01 4.750810162102798131e+02 8.764763492915900872e-03
7.000000000000000666e-01 4.862601580065353346e+02 8.764764697156212508e-03
7.000000000000000666e-01 4.977023564332108663e+02 8.763331563654153805e-03
7.000000000000000666e-01 5.094138014816380178e+02 8.763332660060893509e-03
7.000000000000000666e-01 5.214008287999683944e+02 8.760343706119650894e-03
7.000000000000000666e-01 5.336699231206307559e+02 8.760344704425580137e-03
7.000000000000000666e-01 5.462277217684342077e+02 8.760345657399493460e-03
7.000000000000000666e-01 5.590810182512223037e+02 8.755938868773439909e-03
7.000000000000000666e-01 5.722367659350220492e+02 8.755939736564834208e-03
7.000000000000000666e-01 5.857020818056666940e+02 8.750247051755965025e-03
7.000000000000000666e-01 5.994842503189408944e+02 8.750247842028584938e-03
7.000000000000000666e-01 6.135907273413175744e+02 8.750248596408520194e-03
7.000000000000000666e-01 6.280291441834252737e+02 8.743390746830215915e-03
7.000000000000000666e-01 6.428073117284319551e+02 8.743391433873955523e-03
7.000000000000000666e-01 6.579332246575681893e+02 8.735493068845376005e-03
7.000000000000000666e-01 6.734150657750820983e+02 8.735493694582921118e-03
7.000000000000000666e-01 6.892612104349694846e+02 8.735494291896208491e-03
7.000000000000000666e-01 7.054802310718645231e+02 8.726665777558621426e-03
7.000000000000000666e-01 7.220809018385464242e+02 8.726666321611722607e-03
7.000000000000000666e-01 7.390722033525775032e+02 8.717019134500868238e-03
7.000000000000000666e-01 7.564633275546290179e+02 8.717019630063339505e-03
7.000000000000000666e-01 7.742636826811269657e+02 8.717020103112047349e-03
7.000000000000000666e-01 7.924828983539168803e+02 8.706635824009512428e-03
7.000000000000000666e-01 8.111308307896872520e+02 8.706636254908093134e-03
7.000000000000000666e-01 8.302175681319744172e+02 8.695609896207467590e-03
7.000000000000000666e-01 8.497534359086438371e+02 8.695610288717394928e-03
7.000000000000000666e-01 8.697490026177833897e+02 8.695610663393599921e-03
7.000000000000000666e-01 8.902150854450383122e+02 8.684020989580836306e-03
7.000000000000000666e-01 9.111627561154896284e+02 8.684021330888851142e-03
7.000000000000000666e-01 9.326033468832199560e+02 8.671936195422140156e-03
7.000000000000000666e-01 9.545484566618337112e+02 8.671936506337846531e-03
7.000000000000000666e-01 9.770099572992256753e+02 8.671936803126042981e-03
7.000000000000000666e-01 1.000000000000000000e+03 8.659435681879178170e-03
7.000000000000000666e-01 1.000000000000000000e+03 8.659435681879178170e-03
7.000000000000000666e-01 1.097498765493055544e+03 8.646556493805178725e-03
7.000000000000000666e-01 1.204503540258781186e+03 8.619909170401477902e-03
7.000000000000000666e-01 1.321941148466028608e+03 8.592349848307220470e-03
7.000000000000000666e-01 1.450828778495938650e+03 8.578320365806932010e-03
7.000000000000000666e-01 1.592282793341090610e+03 8.549922480522447951e-03
7.000000000000000666e-01 1.747528400007682876e+03 8.535598035793989444e-03
7.000000000000000666e-01 1.917910261672486740e+03 8.506809593328489363e-03
7.000000000000000666e-01 2.104904144512019684e+03 8.477938398352502861e-03
7.000000000000000666e-01 2.310129700083157786e+03 8.463507998223169376e-03
7.000000000000000666e-01 2.535364493970108924e+03 8.434711537189306177e-03
7.000000000000000666e-01 2.782559402207123185e+03 8.420366691623378669e-03
7.000000000000000666e-01 3.053855508833412387e+03 8.391814603478537152e-03
7.000000000000000666e-01 3.351602650938840725e+03 8.363327510675798784e-03
7.000000000000000666e-01 3.678379771828630510e+03 8.349168592031653430e-03
7.000000000000000666e-01 4.037017258596553802e+03 8.321059802585214007e-03
7.000000000000000666e-01 4.430621457583877600e+03 8.293245242732833269e-03
7.000000000000000666e-01 4.862601580065348571e+03 8.279459658937974795e-03
7.000000000000000666e-01 5.336699231206307559e+03 8.252122994658321609e-03
7.000000000000000666e-01 5.857020818056661483e+03 8.238576490218708567e-03
7.000000000000000666e-01 6.428073117284318869e+03 8.211738677478172196e-03
7.000000000000000666e-01 7.054802310718638182e+03 8.185229804696809650e-03
7.000000000000000666e-01 7.742636826811270112e+03 8.171947008559480100e-03
7.000000000000000666e-01 8.497534359086437689e+03 8.145606128370104157e-03
7.000000000000000666e-01 9.326033468832189101e+03 8.132561886647425575e-03
7.000000000000000666e-01 1.023531021899026928e+04 8.106724299034553244e-03
7.000000000000000666e-01 1.123324032978026480e+04 8.081226510704878074e-03
7.000000000000000666e-01 1.232846739442065882e+04 8.068602824988689581e-03
7.000000000000000666e-01 1.353047774579807628e+04 8.043601835475911593e-03
7.000000000000000666e-01 1.484968262254463480e+04 8.031218538285877367e-03
7.000000000000000666e-01 1.629750834620643400e+04 8.006702971198671054e-03
7.000000000000000666e-01 1.788649529057435211e+04 7.982502952713761007e-03
7.000000000000000666e-01 1.963040650040268520e+04 7.970517734954659511e-03
7.000000000000000666e-01 2.154434690031882201e+04 7.946781323143217030e-03
7.000000000000000666e-01 2.364489412645406992e+04 7.935023931923261900e-03
7.000000000000000666e-01 2.595024211399731939e+04 7.911738871571436307e-03
7.000000000000000666e-01 2.848035868435799057e+04 7.888747632987825123e-03
7.000000000000000666e-01 3.125715849688235176e+04 7.877358722255643417e-03
7.000000000000000666e-01 3.430469286314912461e+04 7.854795230737655898e-03
